Topic,Description,Tags,date,author
Bobcat,"Bypass R Face Vein to Up Vein with Nonaut Sub, Open Approach",Felis;rufus,10/23/2021,Emory Wallbank
Sambar,"Revision of Int Fix in R Rib, Perc Endo Approach",Cervus;unicolor,3/30/2022,Tansy Walkley
Egyptian viper,CT Scan of Pelvic Art using Intravasc Optic Cohere,Naja;haje,11/14/2021,Osborne Langstrath
"Tern, white-winged black",Aural Rehab Treatment using Speech Analysis Equipment,Chlidonias;leucopterus,12/2/2021,Benedikt Cromwell
"Boa, columbian rainbow","Restrict of L Inqnl Lymph with Extralum Dev, Perc Approach",Epicrates;cenchria;maurus,10/20/2021,Janella Robberecht
"Bird, red-billed tropic","Dilate R Hand Art, Bifurc, w 3 Drug-elut, Open",Phaethon;aethereus,3/19/2022,Saidee Walford
"Dove, rock","Excision of Vagina, Endo, Diagn",Columba;livia,2/26/2022,Eryn Ruppelin
"Heron, boat-billed",Fluoroscopy of Right Fallopian Tube,Cochlearius;cochlearius,8/19/2021,Alyss Broadnicke
Ground legaan,"Excision of Left Pleura, Open Approach, Diagnostic",Varanus;sp.,8/14/2021,Cori Pelosi
Common green iguana,"Occlusion of R Temporal Art with Extralum Dev, Open Approach",Iguana;iguana,1/10/2022,Otis Melby
Pale-throated three-toed sloth,"Resection of Left Abdomen Tendon, Perc Endo Approach",Bradypus;tridactylus,10/31/2021,Normy Toland
White-mantled colobus,"Drainage of R Zygomatic Bone with Drain Dev, Open Approach",Colobus;guerza,10/3/2021,Berkly Hatchell
"Turkey, common","Release R Up Arm Subcu/Fascia, Perc Approach",Meleagris;gallopavo,6/1/2021,Lorain Hammerberg
"Cockatoo, slender-billed","Excision of Right Lacrimal Gland, Percutaneous Approach",Cacatua;tenuirostris,3/11/2022,Alanson Morecombe
"Sloth, pale-throated three-toed","Inspection of Upper Vein, Percutaneous Endoscopic Approach",Bradypus;tridactylus,5/29/2021,Rem Libbey
"Eagle, white-bellied sea","Removal of Tracheostomy Device from Trachea, Extern Approach",Haliaetus;leucogaster,9/12/2021,Sandye Batteson
Spotted wood sandpiper,"Supplement Left Radius with Autol Sub, Perc Endo Approach",Tringa;glareola,4/15/2021,Sheela Somerbell
"Bandicoot, southern brown","Dilation of Up Art, Bifurc, with 2 Drug-elut, Open Approach",Isoodon;obesulus,4/7/2022,Colette Luetchford
Fisher,"Reposition Left Fibula, Percutaneous Approach",Martes;pennanti,5/4/2021,Emmalynne Stubbes
White-winged black tern,"Resection of Nasal Turbinate, Via Opening",Chlidonias;leucopterus,11/27/2021,Emmalee Niven
"Fox, crab-eating","Dilate L Int Iliac Art w 3 Intralum Dev, Perc Endo",Dusicyon;thous,12/22/2021,Tamarra Wardroper
Rose-ringed parakeet,"Reposition Occip Jt with Int Fix, Perc Endo Approach",Psittacula;krameri,10/8/2021,Eulalie Brameld
Bateleur eagle,"Bypass Innom Art to L Up Leg Art w Autol Art, Open",Terathopius;ecaudatus,11/25/2021,Britte Dameisele
"Colobus, black and white","Replacement of Up Tooth, All, with Autol Sub, Open Approach",Colobus;guerza,8/20/2021,Welbie Alleburton
Gray duiker,"Revision of Spacer in L Metacarpocarp Jt, Open Approach",Sylvicapra;grimma,10/9/2021,Naomi Jaume
"Crow, american","Drainage of R Thyroid Art with Drain Dev, Perc Endo Approach",Corvus;brachyrhynchos,7/19/2021,Andrej Duggon
Buttermilk snake,"Insertion of Ring Ext Fix into R Fibula, Open Approach",Coluber;constrictor,12/27/2021,Gabbey Francis
Silver-backed fox,"Division of Left Tarsal, Percutaneous Endoscopic Approach",Vulpes;chama,4/21/2021,Blithe Tranmer
Gray heron,"Alteration of L Ext Ear with Nonaut Sub, Perc Approach",Ardea;cinerea,7/8/2021,Agosto Redd
"Lizard, frilled","Release Occipital-cervical Joint, Open Approach",Chlamydosaurus;kingii,2/16/2022,Aldin Gadsden
"Capuchin, brown","Bypass Splenic Art to R Renal A w Autol Art, Perc Endo",Cebus;apella,12/28/2021,Shanda Henri
Curve-billed thrasher,"Transfer Oculomotor Nrv to Glossophar Nrv, Perc Endo",Toxostoma;curvirostre,12/14/2021,Cleo Babbe
"White-eye, cape",CT Scan of Bi Pelvic Vein using Intravasc Optic Cohere,Zosterops;pallidus,8/12/2021,Marion Sang
Canadian river otter,"Transfer Right Upper Leg Muscle, Perc Endo Approach",Lutra;canadensis,1/12/2022,Kania Mc Dermid
"Hawk, galapagos","Drainage of Bilateral Lungs, Percutaneous Approach",Buteo;galapagoensis,12/25/2021,Gregor Bindley
Little cormorant,"Repair Aortic Valve, Open Approach",Phalacrocorax;niger,12/28/2021,Quinton Rizzo
White-faced whistling duck,"Removal of Spacer from R Sternoclav Jt, Perc Endo Approach",Dendrocygna;viduata,5/27/2021,Lombard Ivashchenko
"Turkey, australian brush","Excision of Left Innominate Vein, Open Approach",Alectura;lathami,12/19/2021,Maryanne Squibe
Vine snake (unidentified),"Bypass Abd Aorta to R Int Ilia w Nonaut Sub, Open",Oxybelis;sp.,7/27/2021,Lenka Pattini
White-necked raven,"Drainage of R Brach Art with Drain Dev, Perc Endo Approach",Corvus;albicollis,12/3/2021,Claudetta Doxey
"Phalarope, red-necked",MRI of L Testicle using Oth Contrast,Phalaropus;lobatus,3/14/2022,Maria Spiby
"Darter, african","Excision of Left Wrist Bursa and Ligament, Perc Approach",Anhinga;rufa,8/2/2021,Yoko Passe
"Hen, sage","Transfer L Up Arm Muscle with Subcu, Perc Endo Approach",Centrocercus;urophasianus,8/26/2021,Venita Bircher
"Vulture, bengal","Removal of Other Device from Neck, External Approach",Gyps;bengalensis,11/27/2021,Robinett Sunnucks
Serval,"Revision of Infusion Device in Pelvic Cavity, Open Approach",Felis;serval,8/24/2021,Ramon Goney
"Eagle, african fish","Destruction of Pericardium, Percutaneous Endoscopic Approach",Haliaetus;vocifer,12/1/2021,Dannie Comino
"Peacock, indian","Drainage of Hypothalamus with Drainage Device, Perc Approach",Pavo;cristatus,1/24/2022,Blinnie Bristo
"Iguana, common green","Upper Arteries, Dilation",Iguana;iguana,12/24/2021,Zak Hastewell
"Seal, harbor","Removal of Drain Dev from L Extraoc Muscle, Perc Approach",Phoca;vitulina,7/7/2021,Stanfield Kroch
Australian pelican,"Bypass L Hypogast Vein to Low Vein w Nonaut Sub, Open",Pelecanus;conspicillatus,12/14/2021,Marcello Dearle
Emu,"Removal of Infusion Device from Penis, External Approach",Dromaeus;novaehollandiae,11/9/2021,Henriette Klejna
Civet (unidentified),"Radiation Therapy, Hepatobil Pancreas, Beam Radiation",unavailable,10/31/2021,Clerc Levy
Amazon parrot (unidentified),"Dilation of Left Peroneal Artery, Bifurcation, Perc Approach",Amazona;sp.,2/4/2022,Torrance Peasey
"Wildebeest, blue","Replacement of Left Clavicle with Autol Sub, Perc Approach",Connochaetus;taurinus,10/16/2021,Alexandro Hindmoor
Four-striped grass mouse,"Revision of Int Fix in L Metatarsotars Jt, Perc Approach",Rhabdomys;pumilio,1/17/2022,Natty Sampey
"Civet, small-toothed palm","Bypass Asc Colon to Desc Colon w Synth Sub, Perc Endo",Arctogalidia;trivirgata,6/29/2021,Stewart Rooke
Water moccasin,"Restriction of Left Anterior Tibial Artery, Perc Approach",Agkistrodon;piscivorus,9/7/2021,Hall Clemmow
Black-necked stork,"Insert Endobronch Valve in L Up Lobe Bronc, Open",Ephippiorhynchus;mycteria,3/12/2022,Gus Honisch
Coqui francolin,"Reposition Hypoglossal Nerve, Percutaneous Approach",Francolinus;coqui,2/10/2022,Garrek Hasson
"Weaver, lesser masked","Supplement Upper Gingiva with Nonaut Sub, Perc Approach",Ploceus;intermedius,12/15/2021,Saidee Jepson
Eastern diamondback rattlesnake,"Release Minor Salivary Gland, Percutaneous Approach",Crotalus;adamanteus,4/7/2022,Domini Limbourne
"Antelope, four-horned","Fluoroscopy R Brachioceph A w Oth Contrast, Laser Intraop",Tetracerus;quadricornis,9/14/2021,Barbi Llorens
Gerenuk,"Division of Right Hip Muscle, Percutaneous Approach",Litrocranius;walleri,4/25/2021,Ginnie Hissie
Andean goose,"Restriction of L Colic Art with Extralum Dev, Open Approach",Chloephaga;melanoptera,2/9/2022,Iona Schmuhl
"Macaque, bonnet","Removal of Drain Dev from R Tympanic Membrane, Via Opening",Macaca;radiata,12/18/2021,Nalani Clevely
Yellow-billed hornbill,Beam Radiation of Maxilla using Heavy Particles,Tockus;flavirostris,9/21/2021,Margy Alastair
"Macaque, rhesus","Insert Radioact Elem in Low Extrem Subcu/Fascia, Perc",Macaca;mulatta,9/6/2021,Corena Sharpus
Indian peacock,"Insert Intralum Dev in R Ext Iliac Art, Perc Endo",Pavo;cristatus,1/29/2022,Barbey Rasper
Laughing kookaburra,"Bypass Abd Aorta to Celiac Art w Autol Art, Perc Endo",Dacelo;novaeguineae,7/1/2021,Madonna Tookill
"Teal, hottentot","Drainage of R Vocal Cord with Drain Dev, Perc Endo Approach",Anas;punctata,5/10/2021,Gonzales Heersema
Eastern quoll,"Excision of Right Knee Tendon, Open Approach",Dasyurus;viverrinus,1/2/2022,Griffith Hubbis
"Duck, white-faced whistling","Reposition Upper Artery, Percutaneous Approach",Dendrocygna;viduata,12/7/2021,Enid Birtwhistle
Bleeding heart monkey,"Transfer Vagus Nerve to Trochlear Nerve, Open Approach",Theropithecus;gelada,3/15/2022,Betsey LaBastida
"Ringtail, common","Bypass Cecum to Rectum with Autol Sub, Open Approach",Pseudocheirus;peregrinus,5/25/2021,Onofredo Vasey
"Boa, columbian rainbow",Low Dose Rate (LDR) Brachytherapy of Ovary using Oth Isotope,Epicrates;cenchria;maurus,9/25/2021,Iggie Sansom
"Bulbul, black-fronted","Beam Radiation of Femur using Heavy Particles (Protons,Ions)",Pycnonotus;nigricans,4/12/2022,Anselm Pfeiffer
Reindeer,"Division of Right Thorax Tendon, Perc Endo Approach",Rangifer;tarandus,9/25/2021,Reeva Serman
Red phalarope,"Excision of Ventricular Septum, Perc Endo Approach",Phalaropus;fulicarius,5/17/2021,Bethanne Gosneye
Bush dog,"Drainage of Aortic Body with Drainage Device, Perc Approach",Speothos;vanaticus,9/19/2021,Ave Duester
"Bleu, blue-breasted cordon","Excision of Lower Lip, Percutaneous Approach",Uraeginthus;angolensis,8/8/2021,Jacenta Killimister
"Fox, arctic","Removal of Autol Sub from R Clavicle, Perc Endo Approach",Alopex;lagopus,6/11/2021,Aile Peschet
Green-winged macaw,"Dilate Inf Mesent Art w 4 Drug-elut, Perc Endo",Ara;chloroptera,6/21/2021,Rosetta Melding
"Bunting, crested","Inspection of Left Tympanic Membrane, Open Approach",Melophus;lathami,3/22/2022,Remington Lithgow
Gecko (unidentified),MRI of R Kidney using Oth Contrast,unavailable,11/1/2021,Padriac Besantie
Horned puffin,"Restrict R Brach Vein w Intralum Dev, Perc Endo",Fratercula;corniculata,2/12/2022,Josi Jerrems
Scarlet macaw,Plain Radiography of Left Pulmonary Vein using Oth Contrast,Ara;macao,9/21/2021,Dare Brosoli
"Openbill, asian","Repair Left Lower Arm, Open Approach",Anastomus;oscitans,7/27/2021,Kaitlynn Oates
Tropical buckeye butterfly,"Occlusion of Trans Colon with Intralum Dev, Perc Approach",Junonia;genoveua,4/18/2021,Hedwiga Pavey
Little grebe,"Insertion of Int Fix into L Temporal Bone, Open Approach",Tachybaptus;ruficollis,1/16/2022,Leonard Medgewick
"Jackal, black-backed","Removal of Nonaut Sub from Scrotum & Tunica, Open Approach",Canis;mesomelas,7/31/2021,Wallis McEntagart
"Kingfisher, pied","Repair Ampulla of Vater, Percutaneous Endoscopic Approach",Ceryle;rudis,1/3/2022,Bennie Tace
"Rhea, gray","Occlusion of Descend Colon with Extralum Dev, Open Approach",Rhea;americana,11/12/2021,Georgia Masserel
"Rhea, common","Supplement L Carpal Jt with Synth Sub, Perc Endo Approach",Rhea;americana,12/11/2021,Darya Waliszewski
Two-toed tree sloth,"Supplement Sup Mesent Vein w Nonaut Sub, Perc Endo",Choloepus;hoffmani,5/27/2021,Eugenio Coning
"Lechwe, kafue flats","Revision of Intralum Dev in Uterus & Cervix, Perc Approach",Kobus;leche;robertsi,2/16/2022,Russ Edeson
"Wildebeest, blue","Insert of Infusion Dev into R Renal Vein, Perc Endo Approach",Connochaetus;taurinus,5/5/2021,Estelle Adam
Four-striped grass mouse,"Insert Pace. Dual Cham in Chest Subcu/Fascia, Open",Rhabdomys;pumilio,12/20/2021,Mirna Barhems
Painted stork,"Excision of Left Metatarsal-Tarsal Joint, Perc Approach",Mycteria;leucocephala,5/10/2021,Julietta Ellice
"Vulture, bengal","Occlusion of Gastric Vein with Extralum Dev, Open Approach",Gyps;bengalensis,10/22/2021,Lily Janauschek
"Pelican, eastern white","Fusion of L Metacarpocarp Jt with Int Fix, Perc Approach",Pelecans;onocratalus,5/25/2021,Eliza Wherry
Spectacled caiman,"Excision of Right Metatarsal, Perc Endo Approach",Caiman;crocodilus,5/24/2021,Paige Montier
Long-necked turtle,"Supplement R Abd Muscle with Synth Sub, Open Approach",Chelodina;longicollis,2/20/2022,Tamarah De Vaux
Pampa gray fox,"Fluoroscopy Cerv-cereb Arch w L Osm Contrast, Laser Intraop",Pseudalopex;gymnocercus,3/13/2022,Halley Simecek
Malay squirrel (unidentified),"Fusion 2-7 T Jt w Autol Sub, Ant Appr A Col, Open",unavailable,2/27/2022,Yul Soame
"Wallaby, bennett's","Environmental, Home and Work Barriers Assessment",Macropus;rufogriseus,1/17/2022,Jordanna Verrill
Royal tern,"Supplement L Inguinal Region w Autol Sub, Perc Endo",Thalasseus;maximus,12/9/2021,Marcus Bresson
Civet cat,"Revision of Synth Sub in Hepatobil Duct, Via Opening",Bassariscus;astutus,6/12/2021,Sibbie Uzielli
Lesser double-collared sunbird,"Dilation of Intracranial Artery, Perc Endo Approach",Nectarinia;chalybea,7/17/2021,Gideon Cecchi
"Corella, long-billed",CT Scan of R Pulm Vein using Intravasc Optic Cohere,Cacatua;tenuirostris,7/1/2021,Roze Fosse
"Deer, mule","Excision of Right Fallopian Tube, Via Opening",Odocoileus;hemionus,1/28/2022,Leone Limbrick
Mouflon,"Destruction of Thoracolumbar Vertebral Joint, Open Approach",Ovis;musimon,3/28/2022,Angelica Danick
"Heron, grey","Excision of Mesenteric Lymphatic, Perc Approach, Diagn",Ardea;cinerea,1/10/2022,Caitlin Hurtic
"Wallaby, red-necked","Insert Infusion Dev in Pancreat Duct, Perc Endo",Macropus;rufogriseus,12/30/2021,Elga McEniry
Netted rock dragon,"Drainage of Sup Mesent Vein with Drain Dev, Open Approach",Ctenophorus;ornatus,9/26/2021,Land Woolliams
Green-winged macaw,Ultrasonography of Bilateral Renal Veins,Ara;chloroptera,1/31/2022,Clio Skellington
"Parrot, hawk-headed","Alteration of Left Knee Region, Percutaneous Approach",Deroptyus;accipitrinus,10/17/2021,Zak Filip
River wallaby,"Drainage of Cystic Duct, Perc Endo Approach, Diagn",Macropus;agilis,8/15/2021,Alaric Avison
Long-necked turtle,"Occlusion of Left Large Intestine, Open Approach",Chelodina;longicollis,4/18/2021,Jocelyn Aiton
"Bird, pied butcher","Restriction of Lg Intest with Extralum Dev, Open Approach",Cracticus;nigroagularis,3/16/2022,Cullie Hickisson
Lilac-breasted roller,"Bypass Stomach to Ileum with Autol Sub, Endo",Coracias;caudata,12/16/2021,Rowney Sayers
Collared lemming,Beam Radiation of Tongue using Photons <1 MeV,Dicrostonyx;groenlandicus,2/25/2022,Murdoch Filipov
"Sloth, pale-throated three-toed","Repair Anal Sphincter, Open Approach",Bradypus;tridactylus,9/8/2021,Melodie Burkert
"Lizard, goanna","Removal of Radioactive Element from GI Tract, Via Opening",Varanus;sp.,2/21/2022,Lion Dudeney
"Squirrel, european red",LDR Brachytherapy of Tongue using Iridium 192,Sciurus;vulgaris,8/29/2021,Dall Sondland
Netted rock dragon,"Remove of Synth Sub from L Sacroiliac Jt, Perc Endo Approach",Ctenophorus;ornatus,2/1/2022,Parnell Peron
Goanna lizard,"Insert VAD Reservoir in L Low Arm Subcu/Fascia, Open",Varanus;sp.,12/2/2021,Sherwood McConachie
Tailless tenrec,"Revision of Autol Sub in R Eye, Via Opening",Tenrec;ecaudatus,4/18/2021,Doloritas Giuron
Blackbuck,"Inspection of R Metatarsophal Jt, Open Approach",Antilope;cervicapra,5/4/2021,Fergus Bartke
Cottonmouth,"Release Cervical Spinal Cord, Open Approach",Agkistrodon;piscivorus,3/18/2022,Chico Parke
Snake (unidentified),"Supplement L Lg Intest with Nonaut Sub, Perc Endo Approach",unavailable,5/6/2021,Elwira Lockhart
"Skunk, striped","Alteration of Head, Open Approach",Mephitis;mephitis,11/17/2021,Alissa O'Brollachain
Greater roadrunner,"Removal of Drainage Device from Ureter, External Approach",Geococcyx;californianus,10/10/2021,Arni Whiting
"Hornbill, southern ground","Extraction of Right Cornea, External Approach",Bucorvus;leadbeateri,11/11/2021,Sandro Gentsch
Great cormorant,"Excision of Right Ovary, Via Opening, Diagn",Phalacrocorax;carbo,10/6/2021,Nobie Blewmen
"Lion, mountain","Drainage of Head Lymphatic, Open Approach, Diagnostic",Felis;concolor,12/15/2021,Neron Fazackerley
"Woodcock, american",Laser Interstitial Thermal Therapy of Diaphragm,Scolopax;minor,5/3/2021,Martainn Baythorp
White-tailed deer,"Extirpation of Matter from R Thyroid Art, Perc Approach",Odocoilenaus;virginianus,9/20/2021,Odetta Commings
Common wolf,"Removal of Synth Sub from Male Perineum, Extern Approach",Canis;lupus,9/18/2021,Mickie Cantu
Four-striped grass mouse,"Bypass R Axilla Art to Bi Low Arm Art, Open Approach",Rhabdomys;pumilio,12/20/2021,Aloysia Curcher
"Dragon, ornate rock","Bypass Left Femoral Artery to R Femor A, Perc Endo Approach",Ctenophorus;ornatus,1/19/2022,Eddi Myner
Red deer,"Supplement Thor Aorta Desc with Autol Sub, Open Approach",Cervus;elaphus,6/17/2021,Beitris Baudts
"Bird, red-billed tropic","Insertion of Radioactive Element into Left Lung, Endo",Phaethon;aethereus,6/10/2021,Jeanna Roll
"Langur, hanuman","Occlusion of Lower Artery with Extralum Dev, Perc Approach",Semnopithecus;entellus,11/25/2021,Gardner Gaule
White-winged black tern,"Bypass Abd Aorta to L Ext Ilia with Autol Art, Open Approach",Chlidonias;leucopterus,5/25/2021,Tobiah Harford
"Buffalo, american","Excision of Right Shoulder Muscle, Open Approach, Diagnostic",Bison;bison,4/15/2021,Kerrin Sitlington
Palm squirrel,"Dilation of Cecum, Via Natural or Artificial Opening",Funambulus;pennati,9/17/2021,Lisha Kinkead
Royal tern,"Removal of Nonaut Sub from Vas Deferens, Endo",Thalasseus;maximus,4/6/2022,Dougie Bastistini
Chestnut weaver,"Inspection of Head & Neck Subcu/Fascia, Perc Approach",Ploceus;rubiginosus,6/6/2021,Matilda Tidcombe
"Shrew, mandras tree",Dynamic Orthosis Device Fitting using Assist Equipment,Anathana;ellioti,11/20/2021,Barbra Brass
Little cormorant,Removal of Packing Material on Right Thumb,Phalacrocorax;niger,5/8/2021,Zora Creebo
"Penguin, magellanic","Bypass R Fem Art to R Femor A with Nonaut Sub, Open Approach",Spheniscus;magellanicus,4/13/2022,Dominic Cotterel
Short-nosed bandicoot,"Release Right Thyroid Gland Lobe, Percutaneous Approach",Isoodon;obesulus,10/12/2021,Ginger Teaz
Thomson's gazelle,"Excision of Nasopharynx, Open Approach, Diagnostic",Gazella;thompsonii,11/12/2021,Sisely Inott
Asian lion,Plain Radiography of L Ext Carotid using H Osm Contrast,Panthera;leo;persica,10/5/2021,Horatio Joselevitz
"Bird, bare-faced go away","Insert Intralum Dev in L Subclav Vein, Perc Endo",Lorythaixoides;concolor,4/4/2022,Aile Missington
Trumpeter swan,"Replacement of Right Vocal Cord with Autol Sub, Via Opening",Cygnus;buccinator,11/3/2021,Kylie Scirman
Zorilla,CT Scan of R Low Extrem using Oth Contrast,Ictonyx;striatus,5/20/2021,Nikkie Delacoste
"Duck, white-faced whistling","Monitoring of Venous Pulse, Peripheral, Perc Approach",Dendrocygna;viduata,12/30/2021,Elset Barti
"Armadillo, seven-banded","Introduction of Oth Therap Subst into Heart, Open Approach",Dasypus;septemcincus,11/8/2021,Shalne Chaster
"Bat, little brown","Drainage of Thoracic Vertebra, Open Approach, Diagnostic",Myotis;lucifugus,2/4/2022,Fulton Senechell
Bald eagle,"Alteration of L Low Extrem with Autol Sub, Open Approach",Haliaeetus;leucocephalus,10/20/2021,Adelina Padly
"Squirrel, golden-mantled ground","Removal of Synth Sub from R Clavicle, Perc Endo Approach",Spermophilus;lateralis,4/17/2021,Desdemona Harkess
White-nosed coatimundi,Stereotactic Gamma Beam Radiosurgery of Thyroid,Nasua;narica,3/4/2022,Fallon Wellwood
Gerenuk,Removal of Cast on Right Thumb,Litrocranius;walleri,12/9/2021,Romonda Balsdon
"Deer, savannah","Removal of Autol Sub from L Tarsal Jt, Open Approach",Mazama;gouazoubira,4/14/2022,Collie Silk
"Owl, white-browed","Alteration of Upper Back with Synth Sub, Open Approach",Ninox;superciliaris,4/28/2021,Holmes Sinncock
King vulture,"Dilation of R Post Tib Art, Bifurc, Open Approach",Sarcorhamphus;papa,11/15/2021,Hildy Lowerson
"Ibis, sacred","Drainage of Right Knee Joint, Open Approach",Threskionis;aethiopicus,9/13/2021,Inna Yitzhok
"Goat, mountain","Drainage of Hypothalamus, Perc Endo Approach, Diagn",Oreamnos;americanus,8/26/2021,Georgi Oleksiak
"Heron, boat-billed","Removal of Extralum Dev from Up Vein, Perc Endo Approach",Cochlearius;cochlearius,12/15/2021,Alistair Bullman
"Ibis, glossy","Release Left Greater Saphenous Vein, Perc Endo Approach",Plegadis;falcinellus,8/26/2021,Pail Reffe
Puma,"Revision of Nonaut Sub in Scrotum & Tunica, Via Opening",Felis;concolor,2/5/2022,Berke Rontree
Tawny frogmouth,"Inspection of Lower Intestinal Tract, External Approach",Podargus;strigoides,12/25/2021,Willy Caston
"Raccoon, common","Destruction of R Int Mamm Art, Perc Endo Approach",Procyon;lotor,9/22/2021,Rois Calven
Hoary marmot,"Dilate L Verteb Art, Bifurc, w 4 Drug-elut, Open",Marmota;caligata,12/20/2021,Leilah Jerratsch
"Raccoon, crab-eating","Destruction of Right Maxilla, Perc Endo Approach",Procyon;cancrivorus,11/28/2021,Hallie Higginbottam
"Fox, bat-eared","Reattachment of L Thorax Bursa/Lig, Open Approach",Otocyon;megalotis,10/31/2021,Dorie Shirt
Black-capped capuchin,"Dilate L Temporal Art, Bifurc, w Drug-elut Intra, Perc",Cebus;apella,9/18/2021,Taylor Curme
Snowy egret,"Bypass R Brach Art to R Low Arm Art w Nonaut Sub, Open",Egretta;thula,3/13/2022,Raye Girling
Red-billed toucan,"Fusion of Left Sternoclavicular Joint, Perc Endo Approach",Ramphastos;tucanus,4/19/2021,Minette Fair
"Goose, andean","Destruction of L Abd Bursa/Lig, Perc Approach",Chloephaga;melanoptera,2/5/2022,Boone Gimbart
"Flamingo, chilean","Drainage of Adenoids, External Approach",Phoenicopterus;chilensis,4/2/2022,Darrelle Bowell
"Bear, american black","Extirpate of Matter from L Int Iliac Art, Perc Endo Approach",Ursus;americanus,3/23/2022,Domini Messiter
"Weaver, lesser masked","Drainage of Left Tympanic Membrane, Percutaneous Approach",Ploceus;intermedius,5/9/2021,Adler Paine
Blue-footed booby,Caregiver Training in Exercise using Assist Equipment,Sula;nebouxii,6/10/2021,Milo Salvage
"Stork, woolly-necked",MRI of Sella Tur/Pituitary using Oth Contrast,Ciconia;episcopus,11/3/2021,Trudie Muehler
Black-capped capuchin,"Resection of Right Lung, Percutaneous Endoscopic Approach",Cebus;apella,10/16/2021,Fredrika Thomtson
European spoonbill,"Excision of Right Tarsal Joint, Open Approach, Diagnostic",Platalea;leucordia,7/2/2021,Shandeigh Hofner
"Whale, long-finned pilot","Drainage of Left Carpal, Open Approach",Globicephala;melas,5/2/2021,Vassily Matiebe
Barasingha deer,"Release Thoracolumbar Vertebral Joint, External Approach",Cervus;duvauceli,12/28/2021,Bogart Highman
"Eagle, bateleur","Drainage of Left Foot, Percutaneous Approach, Diagnostic",Terathopius;ecaudatus,4/18/2021,Britte Joron
Crested porcupine,"Fusion Thor Jt w Intbd Fus Dev, Ant Appr A Col, Perc Endo",Hystrix;cristata,7/15/2021,Nadine Oneill
Roseate cockatoo,"Placement, Anatomical Regions, Dressing",Eolophus;roseicapillus,9/15/2021,Ruby Groves
"Baboon, savanna","Revision of Radioactive Element in Vagina & Cul-de-sac, Endo",Papio;cynocephalus,2/21/2022,Blythe Cardinal
Komodo dragon,"Introduction of Anti-inflammatory into POC, Via Opening",Varanus;komodensis,6/25/2021,Trenna Stoeckle
"Stilt, black-winged","Extirpation of Matter from Splenic Vein, Perc Endo Approach",Himantopus;himantopus,6/18/2021,Bjorn Prahl
Black-backed jackal,"Reposition Right Mandible, Percutaneous Endoscopic Approach",Canis;mesomelas,1/9/2022,Oswald Blockley
North American beaver,"Removal of Autol Sub from Up Vein, Open Approach",Castor;canadensis,8/14/2021,Grier Twallin
Pale-throated three-toed sloth,Grooming/Personal Hygiene Treatment using Assist Equipment,Bradypus;tridactylus,9/21/2021,Austen Darkott
Tiger snake,"Restrict L Int Carotid w Extralum Dev, Perc Endo",Notechis;semmiannulatus,8/27/2021,Tate Himpson
"Deer, savannah",Change Traction Apparatus on Right Inguinal Region,Mazama;gouazoubira,12/16/2021,Melisenda Torfin
Two-banded monitor,"Insertion of Int Fix into R Knee Jt, Perc Approach",Varanus;salvator,4/26/2021,Beniamino Fynan
"Lion, australian sea","Alteration of Right Upper Leg, Percutaneous Approach",Neophoca;cinerea,1/30/2022,Guglielma Cheson
Crimson-breasted shrike,"Repair Vagina, Percutaneous Endoscopic Approach",Laniaurius;atrococcineus,6/25/2021,Dulciana Haycock
"Baboon, gelada","Bypass Abd Aorta to R Renal A w Synth Sub, Perc Endo",Theropithecus;gelada,4/25/2021,Lexie Matteotti
"Cobra, egyptian","Supplement Splenic Vein with Synth Sub, Perc Endo Approach",Naja;haje,7/18/2021,Pavlov Sarfati
"Echidna, short-beaked","Replacement of R Kidney Pelvis with Autol Sub, Open Approach",Tachyglossus;aculeatus,10/9/2021,Wilhelmine Allitt
Eurasian beaver,"Drainage of R Femur Shaft with Drain Dev, Perc Approach",Castor;fiber,11/26/2021,Mariette Paull
Common waterbuck,"Restrict of Face Art with Extralum Dev, Perc Endo Approach",Kobus;defassa,9/5/2021,Lorenza Hulstrom
"Legaan, ground","Transfer Left Upper Leg Muscle with Skin, Perc Endo Approach",Varanus;sp.,9/26/2021,Noah Derx
Darwin ground finch (unidentified),"Introduction of Destr Agent into Male Reprod, Perc Approach",Geospiza;sp.,9/9/2021,Allyn Flury
Pacific gull,"Extirpation of Matter from Right Femoral Vein, Perc Approach",Gabianus;pacificus,1/26/2022,Ralf Bullas
Brush-tailed rat kangaroo,"Replace of L Renal Art with Autol Sub, Perc Endo Approach",Bettongia;penicillata,10/24/2021,Warner Lindfors
African buffalo,"Release Right Frontal Bone, Percutaneous Endoscopic Approach",Snycerus;caffer,6/14/2021,Bank Berick
American alligator,"Repair Cervix, Percutaneous Endoscopic Approach",Alligator;mississippiensis,5/8/2021,Padriac Eastby
"Sloth, two-toed tree","Introduction of Anti-inflammatory into Lower GI, Endo",Choloepus;hoffmani,8/18/2021,Idalina Mellmer
"Antelope, four-horned","Removal of Ext Fix from L Wrist Jt, Open Approach",Tetracerus;quadricornis,1/9/2022,Bil Edowes
"Duck, comb",Fluoroscopy of Vasa Vasorum using Low Osmolar Contrast,Sarkidornis;melanotos,7/17/2021,Mady Ferras
Nyala,"Removal of Autol Sub from Nasal Bone, Perc Approach",Tragelaphus;angasi,6/15/2021,Eal Proud
